itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
172.203UK,PPX300,PPX300 power amplifier,PPX Series Power Amplifiers,"19"" rackmount 2U power amplifiers with fan cooling and output protection. Balanced inputs via 6.3mm jack or XLR sockets, speaker outputs on 2 SPK connectors or 4mm binding posts. Switchable ground lift, bridge mode and clip limiter.",Bridge mode for high power mono operation[br]Switchable clip limiter[br]Removable handles for low profile install,"Power supply[tab]240Vac, 50Hz (IEC)[br]Controls[tab]Level channel 1, level channel 2, ground, mode, clip limiter[br]Input impedance[tab]20k ohms[br]Frequency response[tab]5Hz - 50kHz[br]Total harmonic distortion[tab]0.05%[br]Slew rate[tab]40V/us[br]Damping factor[tab]>400[br]Protection[tab]Short-circuit, overload, D.C. and thermal protect",Power rms @ 4 Ohms[tab]150W + 150W[br]Power rms @ 8 Ohms[tab]100W + 100W[br]Power rms bridge @ 8 Ohms[tab]300W[br]Dimensions[tab]88 x 483 x 266mm (2U)[br]Weight[tab]8.2kg,Citronic,9.8,20/12/2022 11:58,791,"1,165,169,170,791",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> PPX Series,amplifiers/power-amplifiers/full-size-19-inch-/ppx-series,2,249,https://www.avsl.com/assets/images/1/7/172203UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172203UK_CO2.jpg
172.214UK,PLX2000,"PLX2000 power amplifier, 2 x 700W @ 4 Ohms",PLX Series Power Amplifiers,"19"" rackmount 2U power amplifiers with dual fan cooling and class H architecture for safe, reliable power delivery. Balanced inputs via XLR sockets, speaker outputs on 2 SPK connectors or 4mm binding posts. High power output stable down to 2 Ohms load per side can also be bridged mono to 4 Ohms. Switchable ground lift, bridge mode and clip limiter.",Bridge mode for high power mono operation[br]Output stable down to 2 Ohms[br]Switchable clip limiter,"Power supply[tab]230Vac, 50Hz (IEC)[br]Controls[tab]Level channel 1, level channel 2, ground, mode, clip limiter[br]Input impedance[tab]20k ohms[br]Frequency response[tab]5Hz - 50kHz[br]Total harmonic distortion[tab]0.05%[br]Slew rate[tab]40V/us[br]Damping factor[tab]>400[br]Protection[tab]Short-circuit, overload, D.C. and thermal protect[br]Dimensions[tab]482 x 453 x 88mm (2U)",Power rms @ 2 Ohms[tab]2 x 1000W[br]Power rms @ 4 Ohms[tab]2 x 700W[br]Power rms @ 8 Ohms[tab]2 x 400W[br]Power rms bridge @ 4 Ohms[tab]1700W[br]Power rms bridge @ 8 Ohms[tab]1250W[br]Weight[tab]22.5kg[br]Fuse[tab]F8A (6 x 32mm)[br]Amplifier : construction[tab]Class-AB,Citronic,22.5,17/10/2023 12:06,793,"1,165,169,170,793",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> PLX Series,amplifiers/power-amplifiers/full-size-19-inch-/plx-series,0,459,https://www.avsl.com/assets/images/1/7/172214UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172214UK_LS6.jpg
172.216UK,PLX2800,"PLX2800 power amplifier, 2 x 1050W @ 4 Ohms",PLX Series Power Amplifiers,"19"" rackmount 2U power amplifiers with dual fan cooling and class H architecture for safe, reliable power delivery. Balanced inputs via XLR sockets, speaker outputs on 2 SPK connectors or 4mm binding posts. High power output stable down to 2 Ohms load per side can also be bridged mono to 4 Ohms. Switchable ground lift, bridge mode and clip limiter.",Bridge mode for high power mono operation[br]Output stable down to 2 Ohms[br]Switchable clip limiter,"Power supply[tab]230Vac, 50Hz (IEC)[br]Controls[tab]Level channel 1, level channel 2, ground, mode, clip limiter[br]Input impedance[tab]20k ohms[br]Frequency response[tab]5Hz - 50kHz[br]Total harmonic distortion[tab]0.05%[br]Slew rate[tab]40V/us[br]Damping factor[tab]>400[br]Protection[tab]Short-circuit, overload, D.C. and thermal protect[br]Dimensions[tab]482 x 453 x 88mm (2U)",Power rms @ 2 Ohms[tab]2 x 1400W[br]Power rms @ 4 Ohms[tab]2 x 1050W[br]Power rms @ 8 Ohms[tab]2 x 600W[br]Power rms bridge @ 4 Ohms[tab]2300W[br]Power rms bridge @ 8 Ohms[tab]1750W[br]Weight[tab]25kg[br]Fuse[tab]F12A (6 x 32mm)[br]Amplifier : construction[tab]Class-AB,Citronic,25,17/10/2023 12:06,793,"1,165,169,170,793",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> PLX Series,amplifiers/power-amplifiers/full-size-19-inch-/plx-series,10+,499,https://www.avsl.com/assets/images/1/7/172216UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172216UK_CO2.jpg
172.218UK,PLX3600,"PLX3600 power amplifier, 2 x 1350W @ 4 Ohms",PLX Series Power Amplifiers,"19"" rackmount 2U power amplifiers with dual fan cooling and class H architecture for safe, reliable power delivery. Balanced inputs via XLR sockets, speaker outputs on 2 SPK connectors or 4mm binding posts. High power output stable down to 2 Ohms load per side can also be bridged mono to 4 Ohms. Switchable ground lift, bridge mode and clip limiter.",Bridge mode for high power mono operation[br]Output stable down to 2 Ohms[br]Switchable clip limiter,"Power supply[tab]230Vac, 50Hz (IEC)[br]Controls[tab]Level channel 1, level channel 2, ground, mode, clip limiter[br]Input impedance[tab]20k ohms[br]Frequency response[tab]5Hz - 50kHz[br]Total harmonic distortion[tab]0.05%[br]Slew rate[tab]40V/us[br]Damping factor[tab]>400[br]Protection[tab]Short-circuit, overload, D.C. and thermal protect[br]Dimensions[tab]482 x 453 x 88mm (2U)",Power rms @ 2 Ohms[tab]2 x 1800W[br]Power rms @ 4 Ohms[tab]2 x 1350W[br]Power rms @ 8 Ohms[tab]2 x 800W[br]Power rms bridge @ 4 Ohms[tab]2900W[br]Power rms bridge @ 8 Ohms[tab]2300W[br]Weight[tab]26kg[br]Fuse[tab]F15A (6 x 32mm)[br]Amplifier : construction[tab]Class-H,Citronic,26,17/10/2023 12:06,793,"1,165,169,170,793",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> PLX Series,amplifiers/power-amplifiers/full-size-19-inch-/plx-series,10+,699,https://www.avsl.com/assets/images/1/7/172218UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172218UK_CO2.jpg
172.241UK,QP1600,QP1600 quad power amp 4 x 400W,QP Series Quad Power Amplifiers,A range of quad power amplifiers with 4 fully independent channels and individual volume controls. Fully balanced line inputs and parallel outputs allow signal daisy-chaining to further amplifiers. Designed as a cost effective and efficient solution for multi speaker installations where sound quality is paramount.,Fully balanced signal path[br]Stable down to 2 Ohms[br]2U rack-mountable,"Power supply[tab]230Vac, 50Hz (IEC)[br]Controls[tab]4 x channel gain[br]Dimensions[tab]483 x 439 x 88mm[br]Input : line[tab]4 x XLRF balanced[br]Output : line[tab]4 x XLRM (parallel from inputs)[br]Speaker : outputs[tab]4 x SPK connectors[br]Input impedance[tab]20k Ohms[br]Frequency response[tab]5Hz - 50kHz[br]THD[tab]0.05%[br]Slew rate[tab]40V/usec[br]S/N ratio[tab]103dB[br]Circuit protection[tab]Short-circuit, DC, overload, soft-start[br]Input sensitivity[tab]0dB @ 0.775Vrms",Power rms @ 8 Ohms[tab]4 x 200W[br]Power rms @ 4 Ohms[tab]4 x 300W[br]Power rms @ 2 Ohms[tab]4 x 400W[br]Weight[tab]22kg[br]Fuse rating[tab]F8A,Citronic,22,16/10/2023 13:08,792,"1,165,169,170,792",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> QP Series (Quad),amplifiers/power-amplifiers/full-size-19-inch-/qp-series-quad-,10+,459,https://www.avsl.com/assets/images/1/7/172241UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172241UK_IN1.jpg
172.243UK,QP2320,QP2320 quad power amp 4 x 580W,QP Series Quad Power Amplifiers,A range of quad power amplifiers with 4 fully independent channels and individual volume controls. Fully balanced line inputs and parallel outputs allow signal daisy-chaining to further amplifiers. Designed as a cost effective and efficient solution for multi speaker installations where sound quality is paramount.,Fully balanced signal path[br]Stable down to 2 Ohms[br]2U rack-mountable,"Power supply[tab]230Vac, 50Hz (IEC)[br]Controls[tab]4 x channel gain[br]Dimensions[tab]483 x 439 x 88mm[br]Input : line[tab]4 x XLRF balanced[br]Output : line[tab]4 x XLRM (parallel from inputs)[br]Speaker : outputs[tab]4 x SPK connectors[br]Input impedance[tab]20k Ohms[br]Frequency response[tab]5Hz - 50kHz[br]THD[tab]0.05%[br]Slew rate[tab]40V/usec[br]S/N ratio[tab]103dB[br]Circuit protection[tab]Short-circuit, DC, overload, soft-start[br]Input sensitivity[tab]0dB @ 0.775Vrms",Power rms @ 8 Ohms[tab]4 x 300W[br]Power rms @ 4 Ohms[tab]4 x 450W[br]Power rms @ 2 Ohms[tab]4 x 580W[br]Weight[tab]23.5kg[br]Fuse rating[tab]F12A,Citronic,23.5,16/10/2023 13:08,792,"1,165,169,170,792",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> QP Series (Quad),amplifiers/power-amplifiers/full-size-19-inch-/qp-series-quad-,10+,519,https://www.avsl.com/assets/images/1/7/172243UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/172243UK_IN1.jpg
172.248UK,P44800,P44800 Amp 2 x 400W + 800W Sub,P Series Stereo & Sub Power Amplifiers,2.1 power amplifiers with 2 channels for mid-top cabinets and a single high power sub output with integral active crossover. Designed as a cost effective and efficient solution for bi-amplified sound systems where subs and top cabinets are run together from this single amplifier.,Mono summed sub output (can be full range)[br]Active crossover with variable frequency[br]Stereo full range output,"Connections[tab]3 x XLRF, 3 x jack, 3 x SPK[br]Cut-off frequency[tab]50 - 250Hz (12dB/oct)[br]Dimensions[tab]483 x 439 x 88mm[br]Power supply[tab]240Vac, 50Hz (IEC)[br]Controls[tab]3 x channel level + crossover frequency[br]Input impedance (balanced/unbalanced)[tab]40k Ohms / 20k Ohms[br]Damping factor[tab]>250 (20-400Hz @ 8 Ohms)[br]Slew rate[tab]6.5V/us[br]Frequency response[tab]10Hz - 50kHz (-2dB)[br]THD +N[tab]0.04%[br]Signal to noise ratio[tab]86dB[br]Low-cut filter[tab]30Hz fixed (12dB/oct)",Power rms @ 8 Ohms[tab]250 + 250 + 500W (sub)[br]Power rms @ 4 Ohms[tab]400 + 400 + 800W (sub)[br]Weight[tab]21kg[br]Fuse rating[tab]F12A,Citronic,22.5,02/05/2023 16:11,794,"1,165,169,170,794",Amplifiers -> Power Amplifiers -> Full Size (19 inch) -> P Series (2 + Sub),amplifiers/power-amplifiers/full-size-19-inch-/p-series-2-sub-,10+,479,https://www.avsl.com/assets/images/1/7/172248UK_CO5.jpg,https://www.avsl.com/assets/images/1/7/172248UK_CO1.jpg
172.752UK,PRO-2 MKII,Pro-2 MKII DJ Mixer 2-Channel,DJ Mixer 2 Channel,"The PRO-2 MKII is a straightforward traditional two-channel mixer with a solid build quality and an uncluttered layout. It has high quality faders, sturdy rotaries and includes a dedicated microphone input with two-band EQ and level control. The monitor section features a rotary control to switch between channels 1 and 2 allowing the user to have a mix of both channels at the same time through the headphones.","2 channel, 5 input mixer - 2 phono, 2 line, 1 mic[br]Individual gain controls[br]2 band music EQ with up to 35dB cut per channel[br]Dedicated mic channel with 2 band EQ[br]Headphone cue mix[br]3-bar LED monitor[br]Easy glide replaceable crossfader","Power supply[tab]12Vac, 500mA[br]Headphone output[tab]32 Ohms, 1.8V (>5dB)[br]Input : line[tab]-13dB, 47k Ohms (±2dB)[br]Input : phono[tab]-48dB, 47k Ohms (±2dB)[br]Output : master[tab]RCA 0dB, 470 Ohms (±2dB)[br]THD[tab]>0.2%[br]Dimensions[tab]228 x 265 x 87mm (6U)[br]Weight[tab]2.8kg[br]Input : DJ Mic[tab]-53dB, 6k Ohms (±1dB)[br]Output : headphone[tab]-3dB/33 Ohms +5dB, ±2dB[br]Frequency response : line[tab]20Hz-20kHz ±2dB[br]Frequency response : mic[tab]20Hz-20kHz +2, -3dB[br]Frequency response : phono[tab]50Hz-20kHz ±1dB (RIAA)[br]EQ line : hi[tab]+10/-30dB +2/-2dB @ 10kHz[br]EQ line : low[tab]+10/-30dB +2/-2dB @ 100Hz[br]EQ mic : high[tab]+12/-12dB +2/-2dB @ 10kHz[br]EQ mic : low[tab]+12/-12dB +2/-2dB @ 100Hz",,Citronic,3.7,12/07/2023 11:09,253,"1,244,249,253",Mixers & Pro Audio -> Audio Mixers -> Compact,mixers-pro-audio/audio-mixers/compact,10+,89,https://www.avsl.com/assets/images/1/7/172752UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172752UK_CO1.jpg
172.776UK,CDM8:4 USB,"CDM8:4 USB 14 - INPUT 19"" RACK DJ MIXER","4 Channel 19"" DJ Mixer","This 14 input, 4 channel professional DJ mixer is ideal for mobile use and installations. Each channel has 3 band EQ with individual volume control that can be assigned to either side of the crossfader or cue mix fader. It features USB IN/OUT for playback or recording, and there are 3 x microphone inputs, great for karaoke and DJ set-ups.","45mm rail glide replaceable crossfader with defeat and assign channels[br]3-band EQ on all stereo channels[br]Remote fader starts on stereo channels[br]DJ mic + 2 vocal mic inputs for karaoke[br]Internal digital delay or FX loop for vocal mics[br]3.5mm input option for patching in an MP3 player[br]Individual gain controls on each music channel[br]Hi/Lo EQ for each mic channel[br]12Vdc BNC output for console light[br]2 x phono, 6 x line, 2 x USB IN/OUT, 1 x 3.5mm jack and 3 x microphone inputs","Power supply[tab]115/230Vac, 50/60Hz (IEC)[br]Equaliser : bass[tab]-30 +10dB @ 100Hz[br]Equaliser : midrange[tab]-30 +10dB @ 800Hz[br]Equaliser : treble[tab]-30 +10dB @ 9kHz[br]Signal to noise ratio : line[tab]>87dB[br]Signal to noise ratio : mic[tab]68dB[br]Signal to noise ratio : phono[tab]73dB[br]Headphone output[tab]112mV @ 32 Ohms[br]Console light power[tab]12Vdc 5W max (BNC)[br]Dimensions[tab]483 x 175 x 110mm (4U)[br]Weight[tab]4.06kg",,Citronic,4.06,20/12/2022 11:49,250,"1,244,249,250",Mixers & Pro Audio -> Audio Mixers -> 19 Inch,mixers-pro-audio/audio-mixers/19-inch,7,329,https://www.avsl.com/assets/images/1/7/172776UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/172776UK_DI.jpg
173.003UK,KALIMBA-O17C,Kalimba 17-key CMajor Okoume,Kalimba - 17-key Okoume with Accessories,"A 17-key Kalimba with carved okoume wood body, tuned to the standard key of C Major. Otherwise known as a ""finger piano"", the kalimba is a descendant of the African Mbira and has evolved into today's fun and easy-to-play instrument. This model is supplied with a tuning hammer, labels for learning the keys, a beginner's guide, thimbles and a carrying bag. A great instrument for anyone new to music and for accomplished players alike.",Carved okoume body with decorative rosette[br]17 tuneable keys with note & number stamped on each[br]Supplied with accessories and carrying bag,Notes[tab]17 (C to octave E)[br]Key[tab]C Major[br]Body[tab]Carved okoume[br]Dimensions[tab]180 x 130 x 55mm[br]Weight[tab]274g,,Chord,0.448,26/10/2022 15:25,461,"1,388,461",Music & Instruments -> Percussion,music-instruments/percussion,100+,24.99,https://www.avsl.com/assets/images/1/7/173003UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/173003UK_CO1.jpg
173.004UK,STP-B1,Guitar Strap,Guitar Straps,Basic guitar straps. Constructed from synthetic material and suitable for use with most types of guitar.,Adjustable length up to 1.35m,Width[tab]50mm[br]Adjustable length[tab]max 1.35m,,Chord,0.06,18/05/2017 7:36,887,"1,388,887",Music & Instruments -> Straps,music-instruments/straps,100+,4.49,https://www.avsl.com/assets/images/1/7/173004UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/173004UK_CO2.jpg
173.012UK,CA-15BT,CA-15BT Acoustic Amp + Bluetooth®,CA-15BT Acoustic Guitar Amplifier 15W + Bluetooth®,"Combo amplifier for electro-acoustic guitars with 3-band EQ and built-in chorus effect. A built-in Bluetooth receiver enables playback of backing tracks from a smart phone and a stereo jack output is provided for silent practice with headphones. The 15 Watt amplifier section drives a full-range speaker set, fitted into a closed back speaker cabinet. Finished in durable brown vinyl covering with a basket weave speaker cloth.",Analogue chorus effect for guitar[br]Headphone socket for personal practice[br]Bluetooth receiver for playback of backing tracks,"Power supply[tab]230Vac, 50Hz (IEC)[br]Output power : rms[tab]15W[br]Connections[tab]Guitar in, Headphones out[br]Speaker size[tab]165mmØ (6.5"")[br]EQ controls[tab]Treble, Middle, Bass[br]Dimensions[tab]295 x 180 x 310mm[br]Weight[tab]4.328kg",,Chord,4.8,28/06/2024 15:45,897,"1,388,896,897",Music & Instruments -> Instrument Amplifiers -> Acoustic Guitar,music-instruments/instrument-amplifiers/acoustic-guitar,10+,79,https://www.avsl.com/assets/images/1/7/173012UK_CO2.jpg,https://www.avsl.com/assets/images/1/7/173012UK_CO3.jpg
173.014UK,CG-10BT,CG-10BT Guitar Amp 10W with Bluetooth,CG-10BT Guitar Amplifier,"Classically styled guitar combo in a vinyl covered cabinet with metal corner protectors and basket-weave style grille cloth. Front control panel is recessed with retro ""chicken-head"" control knobs and additional features for Gain, Volume and EQ, with an additional Drive boost switch. Custom solid-state circuitry is voiced to produce authentic vintage-style clean and driven tones. BT wireless pairing capability can be used for playing backing tracks for solo practice or just as a playback device. An ideal practice or recording amplifier for electric guitar players.",Switchable Drive boost for overdrive effects[br]Internal Bluetooth receiver[br]Vintage styling and voicing,"Power supply[tab]230Vac, 50Hz (IEC)[br]Output[tab]10Wrms[br]Speaker[tab]165mm (6.5"")[br]Controls[tab]Gain, Drive, Volume, Treble, Middle, Bass, BT[br]Connections[tab]Guitar input, headphones out[br]Dimensions[tab]295 x 290 x 153mm[br]Weight[tab]4.132kg",,Chord,4.8,28/06/2024 15:52,899,"1,388,896,899",Music & Instruments -> Instrument Amplifiers -> Electric Guitar,music-instruments/instrument-amplifiers/electric-guitar,100+,79,https://www.avsl.com/assets/images/1/7/173014UK_CO1.jpg,https://www.avsl.com/assets/images/1/7/173014UK_CO2.jpg
